GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
0500000US48079,48079,"Cochran County, Texas",22813,1802,25979,2170,15438,1812
0500000US48081,48081,"Coke County, Texas",25447,3186,31875,9909,18875,4823
0500000US48083,48083,"Coleman County, Texas",22481,5296,31811,1902,16634,3442
0500000US48085,48085,"Collin County, Texas",43537,537,53797,872,35008,771
0500000US48087,48087,"Collingsworth County, Texas",23014,2600,27361,5765,15030,2326
0500000US48089,48089,"Colorado County, Texas",28968,2629,33883,1973,21425,1491
0500000US48091,48091,"Comal County, Texas",32248,1050,40568,1810,26104,1293
0500000US48093,48093,"Comanche County, Texas",27766,2211,32429,2211,21628,2516
0500000US48095,48095,"Concho County, Texas",23004,7300,23712,8565,19688,15567
0500000US48097,48097,"Cooke County, Texas",27553,1742,35425,2518,21705,1811
0500000US48099,48099,"Coryell County, Texas",28575,1213,31660,1166,23532,1755
0500000US48101,48101,"Cottle County, Texas",22955,6382,30284,7419,16842,3742
0500000US48103,48103,"Crane County, Texas",32028,5284,43750,6058,17778,5971
0500000US48105,48105,"Crockett County, Texas",27488,4336,44796,6253,10102,4323
0500000US48107,48107,"Crosby County, Texas",22364,2383,25707,2245,17355,2566
0500000US48109,48109,"Culberson County, Texas",14742,3773,26004,7754,12076,1552
0500000US48111,48111,"Dallam County, Texas",23680,1395,28793,3014,15568,3268
0500000US48113,48113,"Dallas County, Texas",29293,317,31241,204,26248,272
0500000US48115,48115,"Dawson County, Texas",27947,2434,37411,4426,19898,4196
0500000US48117,48117,"Deaf Smith County, Texas",25544,1685,29018,2931,19679,1998
0500000US48119,48119,"Delta County, Texas",28949,3876,36694,6001,21250,5929
0500000US48121,48121,"Denton County, Texas",37948,567,45413,923,31153,556
0500000US48123,48123,"DeWitt County, Texas",25274,2602,33450,1852,18590,1616
0500000US48125,48125,"Dickens County, Texas",21290,2646,22139,5543,19444,4651
0500000US48127,48127,"Dimmit County, Texas",20340,3940,30823,6406,12346,3321
0500000US48129,48129,"Donley County, Texas",24071,4763,28036,7922,20606,4063
0500000US48131,48131,"Duval County, Texas",20617,2935,24899,3310,16230,1630
0500000US48133,48133,"Eastland County, Texas",22739,1326,25070,2243,20549,2065
0500000US48135,48135,"Ector County, Texas",29082,1273,40356,1441,20233,750
0500000US48137,48137,"Edwards County, Texas",22438,6606,33194,11016,13393,9662
0500000US48139,48139,"Ellis County, Texas",32300,758,39711,1329,25949,795
0500000US48141,48141,"El Paso County, Texas",22464,290,26528,366,18417,449
0500000US48143,48143,"Erath County, Texas",21355,930,26957,2861,15573,1402
0500000US48145,48145,"Falls County, Texas",22253,1504,22925,2354,21426,2396
0500000US48147,48147,"Fannin County, Texas",25953,1073,27610,2052,23037,2197
0500000US48149,48149,"Fayette County, Texas",28689,2567,33643,2741,20935,1456
0500000US48151,48151,"Fisher County, Texas",25279,3540,31551,2635,17003,3089
0500000US48153,48153,"Floyd County, Texas",27235,3069,30054,3299,23032,5937
0500000US48155,48155,"Foard County, Texas",22586,6585,24338,9620,18523,7500
0500000US48157,48157,"Fort Bend County, Texas",41887,771,50827,1170,33339,863
0500000US48159,48159,"Franklin County, Texas",25389,2654,29270,3382,19864,3646
0500000US48161,48161,"Freestone County, Texas",26642,1719,36916,3017,19796,2218
0500000US48163,48163,"Frio County, Texas",19992,1328,24932,4635,15548,2090
0500000US48165,48165,"Gaines County, Texas",27687,3304,42737,7326,17478,3996
0500000US48167,48167,"Galveston County, Texas",34665,941,43656,1149,26367,850
0500000US48169,48169,"Garza County, Texas",30092,6211,43004,11454,21002,1787
0500000US48171,48171,"Gillespie County, Texas",25023,1789,29236,4243,21134,2186
0500000US48173,48173,"Glasscock County, Texas",32419,8460,48646,20122,12137,9505
0500000US48175,48175,"Goliad County, Texas",35328,2795,42207,7281,28676,7037
0500000US48177,48177,"Gonzales County, Texas",22613,1646,27108,2776,17278,1738
0500000US48179,48179,"Gray County, Texas",26562,2430,35647,2478,18517,1561
0500000US48181,48181,"Grayson County, Texas",27178,703,32057,823,23121,925
0500000US48183,48183,"Gregg County, Texas",26118,964,32195,967,20130,1106
0500000US48185,48185,"Grimes County, Texas",26771,1462,33366,3930,21487,1923
0500000US48187,48187,"Guadalupe County, Texas",31457,825,38193,1513,25533,1050
0500000US48189,48189,"Hale County, Texas",23446,938,28197,1744,17704,1317
0500000US48191,48191,"Hall County, Texas",13464,3000,21809,4771,10475,3050
0500000US48193,48193,"Hamilton County, Texas",27194,2626,31589,2466,24556,5126
0500000US48195,48195,"Hansford County, Texas",26618,1104,34668,2873,17050,2295
0500000US48197,48197,"Hardeman County, Texas",22083,4674,27802,5936,19732,4808
0500000US48199,48199,"Hardin County, Texas",33000,1868,43621,2260,24542,2097
0500000US48201,48201,"Harris County, Texas",30482,136,34656,353,25292,235
0500000US48203,48203,"Harrison County, Texas",26398,888,36088,1954,20892,1148
0500000US48205,48205,"Hartley County, Texas",32302,4602,39375,5629,23828,4233
0500000US48207,48207,"Haskell County, Texas",22230,3530,29538,12249,17845,3869
0500000US48209,48209,"Hays County, Texas",27167,925,32131,1587,22305,1115
0500000US48211,48211,"Hemphill County, Texas",30071,3568,39816,5320,16953,4867
0500000US48213,48213,"Henderson County, Texas",24967,945,28903,1599,19824,1316
0500000US48215,48215,"Hidalgo County, Texas",18528,345,21027,380,15962,361
0500000US48217,48217,"Hill County, Texas",24562,1180,31058,1537,18598,1819
0500000US48219,48219,"Hockley County, Texas",25516,1797,31795,1946,19361,2044
0500000US48221,48221,"Hood County, Texas",30627,1000,36880,2719,23095,1913
0500000US48223,48223,"Hopkins County, Texas",26207,1017,31898,2029,19540,1573
0500000US48225,48225,"Houston County, Texas",22758,2678,25638,2695,19080,3131
0500000US48227,48227,"Howard County, Texas",26604,1166,34130,3113,21784,2540
0500000US48229,48229,"Hudspeth County, Texas",17591,2675,21550,2137,13918,2046
0500000US48231,48231,"Hunt County, Texas",26548,947,32060,1342,20747,1372
0500000US48233,48233,"Hutchinson County, Texas",29009,2625,37852,6924,19273,2245
0500000US48235,48235,"Irion County, Texas",26321,4105,40208,13472,17174,6085
0500000US48237,48237,"Jack County, Texas",27332,2339,35833,4874,21975,2270
0500000US48239,48239,"Jackson County, Texas",28955,3436,39217,4388,20080,3658
0500000US48241,48241,"Jasper County, Texas",26691,1339,34225,2819,21191,2072
0500000US48243,48243,"Jeff Davis County, Texas",24156,3067,27736,4679,19552,2913
0500000US48245,48245,"Jefferson County, Texas",25999,683,31704,1126,20779,668
0500000US48247,48247,"Jim Hogg County, Texas",18375,4400,23200,10160,16709,1700
0500000US48249,48249,"Jim Wells County, Texas",25260,1785,31884,1398,19315,1702
0500000US48251,48251,"Johnson County, Texas",32468,1001,40234,1464,25704,975
0500000US48253,48253,"Jones County, Texas",21896,2722,26223,6241,18608,2519
0500000US48255,48255,"Karnes County, Texas",23972,2129,28397,4814,20986,1834
0500000US48257,48257,"Kaufman County, Texas",32895,1044,40233,1297,27516,1490
0500000US48259,48259,"Kendall County, Texas",33577,3452,40915,4441,26342,2499
0500000US48261,48261,"Kenedy County, Texas",30231,5330,31435,5454,25000,11147
0500000US48263,48263,"Kent County, Texas",24659,4647,28750,8209,21167,6296
0500000US48265,48265,"Kerr County, Texas",24296,1160,30817,2596,21117,1133
0500000US48267,48267,"Kimble County, Texas",22740,3221,24326,1352,15221,1990
0500000US48269,48269,"King County, Texas",32500,11034,37344,13221,29125,6393
