GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
0400000US18,18,Indiana,2463700,6008,48675,283,87.5,0.1,50974,266,8.5,0.1,31346,589,0.2,0.1,36587,6781,1.1,0.1,52317,3765,,,38794,21816,1.6,0.1,38515,2233,1.0,0.1,37191,1966,3.5,0.1,37863,1562,85.8,0.1,51253,262,5.2,0.1,24650,896,36.6,0.2,53447,411,38.0,0.1,60587,440,20.3,0.1,31255,313,1657586,6754,59734,375,46.6,0.2,57568,741,53.4,0.2,61336,437,76.1,0.3,69601,371,17.3,0.3,28432,480,6.6,0.2,39858,915,806114,6133,28299,322,52.4,0.4,23477,318,45.6,0.4,21603,262,6.8,0.3,45741,1604,47.6,0.4,34743,533,37.7,0.4,31488,404,9.9,0.3,50112,1341,23.2,,(X),,22.8,,(X),,22.9,,(X),
0400000US19,19,Iowa,1207657,3845,48585,318,94.6,0.1,49522,336,2.1,0.1,25342,2089,0.2,0.1,31914,4211,1.3,0.1,53431,4702,,,24105,18453,1.1,0.1,37770,2278,0.7,0.1,34598,4040,2.7,0.1,38766,1517,93.1,0.1,49754,352,6.7,0.2,26824,686,33.4,0.2,55488,745,37.0,0.2,60783,542,22.9,0.1,30749,406,790236,4193,61245,411,45.0,0.3,60794,776,55.0,0.3,61563,495,80.5,0.4,68859,452,13.7,0.3,27623,677,5.8,0.2,39898,1175,417421,4149,27580,392,53.3,0.6,23275,454,46.1,0.5,21370,439,7.2,0.3,45253,2507,46.7,0.6,32947,645,36.2,0.5,29884,517,10.5,0.4,49475,1937,21.8,,(X),,21.5,,(X),,21.4,,(X),
0400000US20,20,Kansas,1095794,4005,49189,388,88.1,0.2,50972,402,5.5,0.1,31861,1433,0.8,0.1,39483,4050,1.8,0.1,62144,4128,,,46131,27187,2.3,0.1,34734,1873,1.5,0.1,38399,1585,6.2,0.1,37278,1421,84.6,0.2,51506,434,6.9,0.2,25525,841,35.2,0.3,53685,638,37.2,0.2,62788,713,20.7,0.2,32675,535,729160,4380,61973,504,47.3,0.4,59390,883,52.7,0.4,64045,696,78.8,0.4,71122,516,15.3,0.4,29291,853,5.9,0.3,42157,1610,366634,4524,28244,465,52.7,0.6,24333,500,45.9,0.6,22326,424,6.8,0.3,41778,2579,47.3,0.6,32849,725,38.2,0.6,30715,494,9.2,0.4,47730,2308,20.9,,(X),,20.8,,(X),,20.0,,(X),
0400000US21,21,Kentucky,1666775,4948,41763,277,90.1,0.1,43056,312,7.5,0.1,28205,961,0.2,0.1,28882,4024,0.8,0.1,57691,4247,,,30000,13123,0.5,0.1,33829,4743,0.8,0.1,31955,3752,1.4,0.1,37358,2591,89.3,0.1,43115,308,4.9,0.1,22891,1024,35.6,0.2,47871,528,38.5,0.2,50152,610,20.9,0.2,26336,362,1117773,6084,52064,366,44.6,0.4,50841,679,55.4,0.4,52944,441,75.3,0.4,62210,422,18.4,0.4,24328,489,6.3,0.2,34783,1211,549002,5818,23576,334,54.8,0.6,19913,362,48.2,0.6,18024,364,6.6,0.3,41353,1430,45.2,0.6,28867,554,37.3,0.5,26034,495,7.9,0.4,48074,2453,23.8,,(X),,23.6,,(X),,22.9,,(X),
0400000US22,22,Louisiana,1590100,5289,42634,333,68.5,0.2,51191,425,28.2,0.2,26207,427,0.5,0.1,38205,4533,1.1,0.1,52421,2758,,,38824,18942,0.8,0.1,40255,1779,0.8,0.1,38214,2458,2.6,0.1,39886,1647,66.8,0.2,51484,411,6.0,0.1,22766,1274,35.0,0.2,48100,727,38.5,0.2,52103,541,20.6,0.1,27318,345,1075430,5266,52764,446,45.7,0.4,50421,827,54.3,0.4,54548,501,69.4,0.4,67041,540,23.7,0.3,23247,569,6.9,0.3,40107,1308,514670,4961,24213,518,53.4,0.5,19518,395,47.0,0.5,17583,409,6.4,0.3,41789,2018,46.6,0.5,31194,530,37.9,0.6,27858,1089,8.7,0.4,46926,2133,29.6,,(X),,30.5,,(X),,26.2,,(X),
0400000US23,23,Maine,544101,2521,46807,530,96.7,0.2,47304,549,0.7,0.1,33200,9769,0.5,0.1,23125,6945,0.6,0.1,43843,5479,,,48728,30379,0.2,0.1,40724,10473,1.2,0.1,32129,5266,0.8,0.1,37702,4088,96.2,0.2,47386,559,3.9,0.2,27106,1767,32.0,0.3,52375,847,41.6,0.3,56557,861,22.5,0.3,28881,640,351646,3340,57556,669,43.1,0.6,55607,1163,56.9,0.6,58768,828,78.7,0.5,65412,684,15.0,0.5,26739,1215,6.3,0.4,40671,2255,192455,3590,26798,620,55.5,0.9,22596,788,45.9,0.9,19288,522,9.7,0.7,52455,2384,44.5,0.9,32381,985,32.7,0.9,26852,894,11.8,0.7,54351,2775,21.1,,(X),,21.2,,(X),,19.5,,(X),
0400000US24,24,Maryland,2086828,4627,70005,421,64.6,0.2,76736,501,27.8,0.2,55031,673,0.3,0.1,54894,7476,4.2,0.1,85726,2271,,,68828,18729,1.8,0.1,58245,2315,1.3,0.1,64143,4212,4.4,0.1,61618,1645,62.3,0.2,77214,486,3.6,0.1,36751,1286,36.7,0.2,74142,744,40.4,0.2,85027,641,19.4,0.1,42581,616,1390703,6392,84126,508,47.0,0.3,82393,954,53.0,0.3,85530,540,72.3,0.4,100509,528,20.8,0.3,45540,785,6.9,0.2,57410,1700,696125,5764,43797,476,56.1,0.5,38974,730,48.0,0.5,34735,722,8.2,0.3,73253,2415,43.9,0.5,50078,852,33.9,0.5,44244,680,10.0,0.3,76601,1981,24.9,,(X),,25.5,,(X),,22.2,,(X),
0400000US25,25,Massachusetts,2457167,5509,64684,361,85.7,0.1,67926,476,5.3,0.1,42095,1262,0.2,0.1,33665,10405,4.1,0.1,72168,2038,,,,,3.5,0.1,32170,1335,1.2,0.1,46802,4069,6.6,0.1,32037,924,82.8,0.1,69226,471,3.2,0.1,32668,1551,35.7,0.2,72509,635,39.8,0.2,80174,718,21.3,0.1,34151,453,1567246,6597,81056,502,46.9,0.2,81865,724,53.1,0.2,80429,691,74.8,0.3,95474,570,18.9,0.3,38019,806,6.3,0.2,57172,1677,889921,7006,38078,534,55.7,0.4,32409,584,46.8,0.4,26842,534,8.9,0.3,72906,1642,44.3,0.4,44843,676,33.8,0.4,37500,886,10.5,0.3,79900,2453,29.4,,(X),,29.6,,(X),,27.7,,(X),
0400000US26,26,Michigan,3844581,7124,49694,215,82.4,0.1,52731,223,12.8,0.1,31982,420,0.5,0.1,40117,2823,2.0,0.1,72245,1987,0.0,0.1,40564,15042,1.1,0.1,37080,1739,1.2,0.1,39399,2183,2.9,0.1,39077,1448,80.8,0.1,52954,224,4.4,0.1,23256,720,34.8,0.1,54848,351,39.7,0.1,61787,324,21.1,0.1,32392,245,2557823,7988,61617,286,45.9,0.2,60763,469,54.1,0.2,62249,297,75.0,0.2,72875,320,18.7,0.2,29144,435,6.3,0.1,42619,744,1286758,6899,29395,252,53.3,0.3,24596,269,46.4,0.3,22727,271,6.8,0.2,44240,1295,46.7,0.3,35463,342,37.7,0.3,32433,363,9.1,0.2,50716,1027,24.9,,(X),,24.9,,(X),,23.9,,(X),
0400000US27,27,Minnesota,2072355,4157,57795,275,91.1,0.1,59551,305,3.7,0.1,30302,1314,0.9,0.1,32591,2453,2.5,0.1,63229,2183,,,44201,11804,0.9,0.1,42125,3017,0.9,0.1,45799,3870,2.6,0.1,41065,1516,89.4,0.1,59994,290,5.8,0.1,30336,779,36.6,0.1,65005,532,38.3,0.1,70718,409,19.3,0.1,33553,423,1346837,5508,71794,321,47.9,0.2,72282,567,52.1,0.2,71413,402,79.8,0.3,81068,333,14.1,0.2,33716,642,6.1,0.2,47573,1464,725518,5246,34199,414,52.3,0.4,29196,527,44.2,0.4,26000,392,8.2,0.3,54300,1779,47.7,0.4,40049,540,36.7,0.4,35159,556,11.0,0.3,62046,1533,20.7,,(X),,20.5,,(X),,19.8,,(X),
